PhishID,URL,HTML,JS,CSS,Images,Not Found,Forbidden,Favicon,ScreenShot,Status Code,Length of URL,Has IP address,Shortening Service,Having @ Symbol,Double Slash Redirecting,Prefix-Suffix,Has Sub-domain,Match Favicon,Standard Port,CTLD,HTTPS in Domain,Sub-Domain Levels,Embedded Domains,Number of Tokens,Sensitive Words,Domain Length,Has Tilde,Dots in URL,Hyphen in Domain Name,Port
8220112,http://paypal-net.com/,1,1,1,1,0,0,1,1,200,,,,,,,,,,,,,,,,,,,,
8212431,https://www.templatern.com/gbr/a7f35688-9c00-4d5e-ba41-29f146377ab0/27dacbae-26ce-43d9-a08a-1a6c0f897043/fce9d02d-e02b-4f24-a211-3e10dfa290f0/login?id=WXplcHROZ2dxRXlzM2xONnhaTXNZK0c1NGIyWkEwejBnTjJYdEtOblZlZVVNdVRtUHZ6QUFNY20rNUcrdXBFSFpGbjY2MzREeUJFR1l5c0NhZFVmOG5XLzJtek9hN0JWUzg1OWdWL2svRVp3NXpCZXpMdnA5RUNEazZWRjZDYlFYZVlmS09BSm9oQUhiSzJlT1FQNGpsa2E5WFFiZGRsaUhJNzNvMUpScnA4VlZKQ3RjV1hLY2Ircm5LQlgzZkFPUWJYSXJLd05DZlNPa0ZEajJaN0UrWm5TTS8zT2JDMnpmZGdnZzV5Zzc3eXorMTZ2VVQ3ZmdWMEh2emxUMDRmOXVhc2hVRUsvUGNKbUZmbVJHWHpqZ2hmd2pMTjJIelgrVWw4c1UvTW8vKzd3eE12VFlkT3U1RjlZNXFEc1I2Qmd5KzlGak04b3NrN0RKME8xcStzaHdWTW9Hd016aFBVV0VPK0lITjh0bFdwMzhWU3RSaDhiVk1rcW5KbDVmQW1K,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
8210845,https://wise.com/gb/account/,1,1,1,1,0,0,1,1,200,,,,,,,,,,,,,,,,,,,,
8210844,https://wise.com/multi-currency-account,1,1,1,1,0,0,1,1,200,,,,,,,,,,,,,,,,,,,,
8210832,https://www.templatern.com/gbr/a7f35688-9c00-4d5e-ba41-29f146377ab0/c33ed38b-b9e6-4471-b44e-8f88ec09ac48/7565791b-15cc-4cd4-8e3d-ba65716793b2/login?id=M01wdmx0a1owTlNXVGJsQWYwTmRHY21xa2hyWERBMTZ2T1UydmEwWnNQWkFVaDRpaG51Nzc3K3hkUU1mL05tVVIzMThyTEo5alpRMVduVlRyU2tOWmlBckFybkJ4ckFUVXZycVhKSXZJZFQxUjBQMjUwYlJEMGJDNzF2NlMrSHhndmxDNHFsSzFaMFk1Rk9QWlFxSmdhRkVZWDZyTlErV0ltQS9iMXR0RkFON0lTNWlPQ2loM3ByczJVaHp0ZzVtcWFqeit6ZGN4azR2d1pycjdISEJJZFZJT2ZkSnlZcnZNRHQ3Sm90QXkwTjZLVEhEZlpNSkEvd0Q1ZEU3V0g1cndTR1VTTnIxL3RIY1d1K01zdlY0UWZyakNTNTBKQTd6MW1xUnRidWxTQTJocVdhUTRvWUdzcWpha01rcTZLd01XMGtrVmlzdGJkWVU1eTNENUJwM2orMGZKNFdzTWNNdmd0MHlhOWlSVkRXNkxUaFhBb205Yi84Z25IeTlQL2gz,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
8202280,https://bnpparibaswarsawopen.pl,1,1,1,1,0,0,1,1,200,,,,,,,,,,,,,,,,,,,,
8193253,https://axos.invlink.com/,1,1,1,1,0,0,0,1,200,,,,,,,,,,,,,,,,,,,,
8193132,https://www.sbi.mx/page/41/786/scotiabank-bankingweb.html,1,1,1,1,0,0,0,1,200,,,,,,,,,,,,,,,,,,,,
8183182,https://login.aruba.it/auth/realms/pec/protocol/openid-connect/auth?client_id=pec-gestionemail&redirect_uri=https://gestionemail.pec.aruba.it/titolare/index&state=648d7686109d55.73808773&response_type=code&scope=openid,1,1,1,1,0,0,1,1,200,,,,,,,,,,,,,,,,,,,,
8183181,http://gestionemail.pec.aruba.it,1,1,1,1,0,0,0,1,200,,,,,,,,,,,,,,,,,,,,
8183180,https://login.aruba.it/auth/realms/pec/protocol/openid-connect/auth?client_id=pec-gestionemail&redirect_uri=https://gestionemail.pec.aruba.it/titolare/index&state=648d7640b9c0d2.77494707&response_type=code&scope=openid,1,1,1,1,0,0,1,1,200,,,,,,,,,,,,,,,,,,,,
8181738,https://www.cloudflare.com/,1,1,1,1,0,0,1,1,200,,,,,,,,,,,,,,,,,,,,
8178135,"https://fonts.googleapis.com/css?family=Noticia+Text:400,400i,700,700i",1,0,0,0,0,0,0,1,200,,,,,,,,,,,,,,,,,,,,
8176105,https://www.jb-honshi.co.jp/customer_index/,1,1,1,1,0,0,1,1,200,,,,,,,,,,,,,,,,,,,,
8172043,http://www.ebas.ch/phishing,1,1,1,1,0,0,1,1,200,,,,,,,,,,,,,,,,,,,,
8172024,https://www.ebas.ch/phishing,1,1,1,1,0,0,1,1,200,,,,,,,,,,,,,,,,,,,,
8172018,https://www.ebas.ch/phishing/,1,1,1,1,0,0,1,1,200,,,,,,,,,,,,,,,,,,,,
8172017,https://www.ebas.ch/index.php?page_id=817,1,1,1,1,0,0,1,1,200,,,,,,,,,,,,,,,,,,,,
8169364,https://href.li/?https://online.lloydsbank.co.uk/personal/logon/login.jsp,1,1,0,0,0,0,0,0,200,,,,,,,,,,,,,,,,,,,,
8167606,https://wns.e-learningportal.com/,1,1,1,1,0,0,0,1,200,,,,,,,,,,,,,,,,,,,,
8167605,http://wns.e-learningportal.com,1,1,1,1,0,0,0,1,200,,,,,,,,,,,,,,,,,,,,
8166574,https://express.adobe.com,1,1,0,0,0,0,0,0,200,,,,,,,,,,,,,,,,,,,,
8165181,https://www.bancofalabella.com.co/page/cashback-falabella-junio?utm_source=mail&utm_medium=cashback&utm_campaign=Mail_Jn_cashaback&utm_content=,1,1,0,0,0,0,1,1,200,,,,,,,,,,,,,,,,,,,,
8165180,https://bit.ly/42kpJWX,1,1,0,0,0,0,0,1,200,,,,,,,,,,,,,,,,,,,,
8165179,https://www.bancofalabella.com.co/page/3-retiros-gratis,1,1,0,0,0,0,1,1,200,,,,,,,,,,,,,,,,,,,,
8163193,http://www.paypal-merchant.com/,1,1,1,0,0,0,0,1,200,,,,,,,,,,,,,,,,,,,,
8162191,https://www.postfinance.ch/ap/ba/ob/html/finance/home?login,1,1,1,0,0,0,1,1,200,,,,,,,,,,,,,,,,,,,,
8161368,http://bigagentrewards.com/,1,0,0,0,0,0,0,0,200,,,,,,,,,,,,,,,,,,,,
8160017,https://urlscan.io/result/e6cb5bed-fa87-4317-bfc3-4d21f13025ef/,1,1,1,1,0,0,1,0,200,,,,,,,,,,,,,,,,,,,,
8156856,https://www.mercadopago.com.br/,1,1,1,1,0,0,1,1,200,,,,,,,,,,,,,,,,,,,,
