Length of URL, Has IP address, Shortening Service, Having @ Symbol, Double Slash Redirecting, Prefix-Suffix, CTLD, HTTPS in Domain, Sensitive Words, Has Tilde, Has Port, PhishID, frequency_of_a_tags, frequency_of_alltags, presence_of_iframes, presence_of_popups, right_click_disabling, checking_sfh, request_url, url-of-anchor, links_in_meta_img, check_hidden_content, Current Domain Age, Matching Domain Name, Length of Domain, Google page index,Result
1,1,-1,1,1,-1,1,-1,1,1,-1,8220112,-1,1,1,1,1,-1,-1,-1,-1,1,1,1,1,-1,1
1,1,1,1,1,1,1,-1,-1,1,-1,8210845,1,0,1,1,1,-1,1,-1,1,1,1,-1,1,1,1
1,1,1,1,1,1,1,-1,-1,1,-1,8210844,1,0,1,1,1,-1,1,-1,1,1,1,-1,1,-1,1
1,1,1,1,1,1,-1,-1,1,1,-1,8202280,1,0,1,1,1,-1,-1,0,1,-1,-1,-1,-1,1,1
1,1,1,1,1,1,0,-1,1,1,-1,8193253,1,1,1,1,1,-1,-1,-1,1,-1,1,-1,1,1,1
0,1,1,1,1,1,1,-1,-1,1,-1,8193132,1,1,1,1,1,-1,-1,1,-1,-1,1,-1,1,1,1
-1,1,1,1,-1,1,1,-1,-1,1,-1,8183182,-1,0,1,1,1,-1,-1,-1,0,-1,1,-1,1,1,1
1,1,1,1,1,1,0,-1,1,1,-1,8183181,-1,0,1,1,1,-1,-1,-1,0,-1,1,-1,1,1,-1
-1,1,1,1,-1,1,1,-1,-1,1,-1,8183180,-1,0,1,1,1,-1,-1,-1,0,-1,1,-1,1,1,1
1,1,1,1,1,1,1,-1,1,1,-1,8181738,-1,0,1,1,1,-1,1,0,1,1,1,-1,1,1,1
1,1,1,1,1,-1,1,-1,1,1,-1,8176105,1,0,1,1,1,-1,-1,-1,0,1,0,0,0,1,1
1,1,1,1,1,1,1,-1,1,1,-1,8172043,1,1,1,1,1,-1,1,0,1,-1,0,0,0,1,1
1,1,1,1,1,1,1,-1,1,1,-1,8172024,1,1,1,1,1,-1,1,0,1,-1,0,0,0,1,1
1,1,1,1,1,1,1,-1,1,1,-1,8172018,1,1,1,1,1,-1,1,0,1,-1,0,0,0,1,1
1,1,1,1,1,1,1,-1,1,1,-1,8172017,1,1,1,1,1,-1,1,0,1,-1,0,0,0,1,1
0,1,1,1,-1,1,1,-1,-1,1,-1,8169364,-1,1,1,1,1,-1,1,-1,-1,1,0,0,0,1,1
1,1,1,1,1,-1,0,-1,1,1,-1,8167606,1,0,1,1,1,-1,-1,-1,1,-1,1,-1,1,1,1
1,1,1,1,1,-1,0,-1,1,1,-1,8167605,1,0,1,1,1,-1,-1,-1,1,-1,1,-1,1,1,1
1,1,1,1,1,1,0,-1,1,1,-1,8166574,-1,1,1,1,1,-1,1,-1,1,1,1,-1,1,1,1
-1,1,1,1,1,1,0,-1,1,1,-1,8165181,1,1,1,1,1,-1,1,1,0,1,0,0,0,-1,1
1,1,-1,1,1,1,1,-1,1,1,-1,8165180,1,1,1,1,1,-1,1,1,0,1,1,-1,1,-1,1
0,1,1,1,1,1,0,-1,1,1,-1,8165179,1,1,1,1,1,-1,1,1,0,1,1,-1,1,-1,1
1,1,-1,1,1,-1,1,-1,1,1,-1,8163193,-1,1,1,1,1,-1,1,-1,1,1,1,1,1,1,1
0,1,1,1,1,1,1,-1,-1,1,-1,8162191,1,1,1,1,1,-1,1,-1,1,1,0,0,0,-1,1
1,1,1,1,1,1,1,-1,1,1,-1,8161368,1,0,1,1,1,-1,0,0,1,1,1,-1,1,1,1
0,1,1,1,1,1,1,-1,1,1,-1,8160017,-1,0,1,1,1,-1,-1,-1,1,1,1,-1,1,-1,-1
1,1,1,1,1,1,0,-1,1,1,-1,8156856,1,0,1,1,1,-1,-1,-1,-1,1,1,-1,1,1,1
1,1,1,1,1,1,0,-1,-1,1,-1,8156512,-1,1,1,1,1,-1,-1,-1,0,-1,1,-1,1,-1,1
1,1,1,1,1,1,-1,-1,1,1,-1,8156506,1,1,1,1,1,-1,1,0,1,1,0,-1,0,1,
1,1,1,1,1,1,1,-1,1,1,-1,8156398,1,0,1,1,1,-1,-1,-1,1,1,1,-1,1,1,1
0,1,1,1,1,1,1,-1,1,1,-1,8153634,-1,0,1,1,1,-1,-1,-1,1,-1,1,-1,1,1,
-1,1,1,1,-1,1,0,-1,1,1,-1,8152643,1,1,1,1,1,-1,1,1,1,1,1,-1,1,1,
-1,1,1,1,1,1,0,-1,-1,1,-1,8149967,-1,1,1,1,1,-1,-1,-1,1,-1,1,-1,1,1,
1,1,1,1,1,1,0,-1,1,1,-1,8144387,1,1,1,1,1,1,1,1,1,1,1,-1,1,-1,
1,1,1,1,1,1,1,-1,1,1,-1,8140977,-1,1,1,1,1,-1,-1,-1,1,1,1,-1,1,1,
1,1,1,1,1,1,1,-1,1,1,-1,8140976,-1,1,1,1,1,-1,-1,-1,1,1,1,-1,1,1,
1,1,1,1,1,1,1,-1,1,1,-1,8139733,1,1,1,1,1,-1,1,1,-1,1,1,-1,1,1,
0,1,1,1,-1,1,1,-1,1,1,-1,8138430,1,1,1,1,1,-1,1,1,1,1,1,-1,1,-1,
1,1,1,1,1,1,0,-1,1,1,-1,8137143,1,1,1,1,1,-1,1,-1,1,1,1,-1,1,1,
-1,1,-1,1,1,1,-1,-1,1,1,-1,8124571,1,1,1,1,1,-1,1,1,-1,1,1,-1,1,-1,
-1,1,-1,1,1,1,-1,-1,1,1,-1,8124570,1,1,1,1,1,-1,1,1,-1,1,1,-1,1,-1,
1,1,1,1,1,1,1,-1,1,1,-1,8116251,1,0,1,1,1,-1,-1,-1,1,-1,1,-1,1,1,1
1,1,1,1,1,1,0,-1,1,1,-1,8113376,-1,1,1,1,1,-1,-1,-1,1,-1,0,0,0,1,1
