PhishID,frequency_of_a_tags,frequency_of_alltags,presence_of_iframes,presence_of_popups,right_click_disabling,checking_sfh,request_url,url-of-anchor,links_in_meta_img,Result
8220112,0,0,1,1,1,-1,-1,-1,-1,1
8210845,1,0,1,1,1,-1,1,-1,1,1
8210844,1,0,1,1,1,-1,1,-1,1,1
8202280,1,0,1,1,1,-1,-1,0,1,1
8193253,0,0,1,1,1,-1,-1,-1,1,1
8193132,0,0,1,1,1,-1,-1,1,-1,1
8183182,-1,0,1,1,1,-1,-1,-1,0,1
8183181,-1,0,1,1,1,-1,-1,-1,0,1
8183180,-1,0,1,1,1,-1,-1,-1,0,1
8181738,-1,0,1,1,1,-1,1,0,1,1
8178135,0,0,1,0,1,-1,1,1,1,1
8176105,1,0,1,1,1,-1,-1,-1,0,1
8172043,0,0,1,1,1,-1,1,0,1,1
8172024,0,0,1,1,1,-1,1,0,1,1
8172018,0,0,1,1,1,-1,1,0,1,1
8172017,0,0,1,1,1,-1,1,0,1,1
8169364,-1,0,1,1,1,-1,1,-1,-1,1
8167606,0,0,1,1,1,-1,-1,-1,1,1
8167605,0,0,1,1,1,-1,-1,-1,1,1
8166574,-1,0,1,1,1,-1,1,-1,1,1
8165181,0,0,1,1,1,-1,1,1,0,1
8165180,0,0,1,1,1,-1,1,1,0,1
8165179,0,0,1,1,1,-1,1,1,0,1
8163193,-1,0,1,1,1,-1,1,-1,1,1
8162191,0,0,1,1,1,-1,1,-1,1,1
8161368,1,0,1,1,1,-1,0,0,1,1
8160017,0,0,1,1,1,-1,-1,-1,1,1
8156856,1,0,1,1,1,-1,-1,-1,-1,1
8156512,-1,0,1,1,1,-1,-1,-1,0,1
8156506,1,0,1,1,1,-1,1,0,1,1
8156398,1,0,1,1,1,-1,-1,-1,1,1
8153634,-1,0,1,1,1,-1,-1,-1,1,1
8152643,0,0,1,0,1,-1,1,1,1,1
8149967,-1,0,1,1,1,-1,-1,-1,1,1
8144387,0,0,1,1,1,1,1,1,1,1
8140977,-1,0,1,1,1,-1,-1,-1,1,1
8140976,-1,0,1,1,1,-1,-1,-1,1,1
8139733,0,0,1,1,1,-1,1,1,-1,1
8138430,0,0,1,0,1,-1,1,1,1,1
8137143,0,0,1,1,1,-1,1,-1,1,1
8124571,0,0,1,1,1,-1,1,1,-1,1
8124570,0,0,1,1,1,-1,1,1,-1,1
8116251,1,0,1,1,1,-1,-1,-1,1,1
8113376,0,0,1,1,1,-1,-1,-1,1,1
8109550,0,0,1,1,1,-1,1,1,1,1
8109377,-1,0,1,1,1,-1,-1,-1,0,1
8108221,0,0,1,1,1,-1,1,1,1,1
8104218,0,0,1,1,1,-1,-1,-1,1,1
8103016,0,0,1,0,1,-1,1,1,-1,1
8102985,0,0,1,1,1,-1,-1,-1,1,1
8101761,0,0,1,1,1,-1,-1,-1,1,1
8099745,0,0,1,1,1,-1,-1,-1,1,1
8099197,-1,0,1,1,1,-1,-1,-1,1,1
8098907,0,0,1,1,1,-1,1,1,-1,1
8096513,0,0,1,1,1,-1,-1,-1,0,1
8096005,0,0,1,1,1,-1,-1,1,-1,1
8096004,-1,0,1,1,1,-1,-1,-1,-1,1
8095089,0,0,1,1,1,-1,1,1,0,1
8094893,0,0,1,0,1,-1,1,1,1,1
8094224,0,0,1,1,1,-1,-1,-1,1,1
8094223,0,0,1,1,1,-1,-1,-1,1,1
8094222,0,0,1,1,1,-1,-1,-1,1,1
8094221,0,0,1,1,1,-1,-1,-1,1,1
8094220,0,0,1,1,1,-1,-1,-1,1,1
8094219,0,0,1,1,1,-1,-1,-1,1,1
8094103,0,0,1,1,1,-1,-1,-1,1,1
8094055,0,0,1,1,1,-1,0,-1,1,1
8093849,0,0,1,1,1,1,1,1,1,1
8093172,0,0,1,1,1,1,-1,-1,1,1
8093171,0,0,1,1,1,1,-1,-1,1,1
8091423,0,0,1,1,1,-1,-1,1,-1,1
8089920,0,0,1,1,1,1,1,1,-1,1
8088092,0,0,1,1,1,-1,-1,-1,1,1
8088008,0,0,1,1,1,-1,-1,-1,1,1
8087352,0,0,1,0,1,-1,-1,-1,0,1
8081719,0,0,1,1,1,1,1,1,-1,1
8079397,0,0,1,1,1,-1,1,1,0,1
8079396,0,0,1,1,1,-1,1,1,0,1
8079395,0,0,1,1,1,-1,1,1,0,1
8079394,0,0,1,1,1,-1,1,1,0,1
8079390,0,0,1,1,1,-1,1,1,0,1
8079389,0,0,1,1,1,-1,1,1,0,1
8076773,0,0,1,1,1,-1,-1,1,1,1
8076434,-1,0,1,1,1,-1,-1,-1,1,1
8076433,-1,0,1,1,1,-1,-1,-1,1,1
8076156,0,0,1,1,1,-1,-1,0,0,1
8076155,0,0,1,1,1,-1,-1,0,0,1
8073117,-1,0,1,1,1,-1,-1,-1,-1,1
8071564,-1,0,1,0,1,-1,-1,-1,-1,1
8070196,0,0,1,1,1,-1,-1,-1,-1,1
8055396,1,0,1,1,1,-1,-1,1,-1,1
8044568,-1,0,1,1,1,-1,0,-1,0,1
8039491,0,0,1,1,1,-1,-1,-1,1,1
8038859,1,0,1,1,1,-1,1,-1,1,1
8038770,0,0,1,1,1,-1,1,1,-1,1
8037646,0,0,1,1,1,-1,-1,-1,1,1
8033643,0,0,1,1,1,-1,-1,-1,1,1
8032636,0,0,1,1,1,-1,-1,-1,1,1
8031690,-1,0,1,1,1,-1,1,-1,-1,1
8031413,-1,0,1,1,1,-1,-1,-1,-1,1
8031350,-1,0,1,1,1,-1,1,0,1,1
8031349,-1,0,1,1,1,-1,-1,-1,-1,1
8019435,1,0,1,1,1,-1,0,1,0,1
8019434,-1,0,1,1,1,-1,0,1,0,1
8019344,1,0,1,1,1,-1,-1,-1,-1,1
8019162,0,0,1,1,1,-1,-1,-1,1,1
8005354,1,0,1,1,1,-1,-1,-1,1,1
8004894,0,0,1,0,1,-1,1,1,1,1
8004836,-1,0,1,1,1,-1,-1,-1,1,1
8002918,0,0,1,1,1,-1,1,1,-1,1
7998721,0,0,1,1,1,-1,1,1,1,1
7995738,0,0,1,1,1,1,1,1,-1,1
7988689,0,0,1,1,1,-1,-1,-1,1,1
7984826,0,0,1,1,1,1,1,1,0,1
7984404,0,0,1,1,1,1,1,1,0,1
7984057,0,0,1,1,1,1,1,1,1,1
7983883,0,0,1,1,1,-1,-1,-1,0,1
7983865,0,0,1,1,1,-1,-1,-1,0,1
7982462,0,0,1,1,1,-1,-1,0,0,1
7979693,-1,0,1,1,1,-1,-1,-1,0,1
7977465,0,0,1,1,1,-1,1,1,0,1
7977299,0,0,1,1,1,-1,-1,1,0,1
7977225,-1,0,1,1,1,-1,-1,-1,1,1
7976534,-1,0,1,1,1,-1,1,-1,0,1
7976292,0,0,1,1,1,-1,1,1,1,1
7975498,-1,0,1,1,1,-1,-1,1,0,1
7974196,0,0,1,0,1,1,1,1,1,1
7973169,-1,0,1,1,1,-1,-1,0,0,1
7972738,0,0,1,1,1,-1,-1,-1,-1,1
7970482,-1,0,1,1,1,-1,-1,-1,1,1
7968112,-1,0,1,0,1,-1,-1,-1,-1,1
7968016,-1,0,1,0,1,-1,-1,-1,-1,1
7966887,-1,0,1,0,1,-1,-1,-1,-1,1
7966865,-1,0,1,0,1,-1,-1,-1,-1,1
7965922,1,0,1,1,1,-1,1,0,1,1
7964602,0,0,1,1,1,-1,-1,-1,1,1
7963910,0,0,1,1,1,-1,1,-1,0,1
7962564,-1,0,1,1,1,-1,-1,-1,1,1
7962285,0,0,1,0,1,1,1,1,1,1
7960339,0,0,1,1,1,-1,1,1,0,1
7960204,-1,0,1,1,1,-1,-1,-1,-1,1
7955746,1,0,1,1,1,-1,-1,-1,1,1
7955473,0,0,1,1,1,-1,1,1,1,1
7950645,0,0,1,1,1,-1,-1,-1,1,1
7950639,0,0,1,1,1,-1,-1,-1,1,1
7950458,0,0,1,1,1,-1,-1,-1,1,1
7949847,0,0,1,1,1,-1,1,1,1,1
7949454,0,0,1,1,1,-1,-1,-1,1,1
7949139,0,0,1,1,1,-1,-1,-1,0,1
7945357,0,0,1,1,1,-1,1,1,1,1
7943820,0,0,1,1,1,-1,-1,-1,1,1
7938952,1,0,1,1,1,-1,1,1,1,1
7937481,0,0,1,1,1,-1,-1,-1,1,1
7925643,-1,0,1,1,1,-1,-1,-1,0,1
7923490,0,0,1,1,1,-1,-1,-1,1,1
7922812,0,0,1,1,1,-1,-1,-1,-1,1
7919144,0,0,1,1,1,-1,-1,0,0,1
7913127,0,0,1,1,1,-1,-1,-1,1,1
7913123,0,0,1,1,1,-1,-1,-1,1,1
7907249,1,0,1,1,1,-1,1,1,0,1
7906786,0,0,1,1,1,-1,-1,-1,1,1
7906771,-1,0,1,1,1,-1,-1,-1,1,1
7906199,0,0,1,1,1,-1,1,-1,-1,1
7904901,-1,0,1,1,1,-1,-1,-1,1,1
7904871,0,0,1,1,1,-1,-1,-1,1,1
7891660,1,0,1,1,1,-1,-1,-1,1,1
7888387,0,0,1,1,1,-1,-1,-1,1,1
7888217,0,0,1,1,1,-1,-1,-1,1,1
7866688,-1,0,1,1,1,-1,-1,-1,-1,1
7866450,0,0,1,1,1,-1,-1,-1,1,1
