PhishID, PhishURL                                                                                                                                                                                                                                                                                                                                                                                                                                                                , Result                                                                                                                                                                                                                                                                                                                                                                                                                            , Length of URL, Has IP address, Shortening Service, Having @ Symbol, Double Slash Redirecting, Prefix-Suffix, Has Sub-domain, SSL Final State, Port, Domain Length,
8196332, https://flexxia.cleverapps.io/postch/tracking/j0pl1n/details.php?id=65415241                                                                                                                                                                                                                                                                                                                                                                                            , 1                                                                                                                                                                                                                                                                                                                                                                                                                                 , 76           , -1            , -1                , -1             , 1                       , 1            , 1             , -1             , -1  , 21           ,
8196331, https://recursing-blackwell.198-38-88-89.plesk.page/DHM/RDGDESDZRFSYJNOI/index.php?FGDD=1#HDHKJDJDSSJDSJKJDSJDSDJJDSHYKJHGFG                                                                                                                                                                                                                                                                                                                                            , 1                                                                                                                                                                                                                                                                                                                                                                                                                                 , 124          , -1            , -1                , -1             , 1                       , 1            , 1             , -1             , -1  , 43           ,
8196330, https://dhl.information.de.0905354133388.ajiwainosato.com/tracking/1548655?page=307                                                                                                                                                                                                                                                                                                                                                                                     , -1                                                                                                                                                                                                                                                                                                                                                                                                                                , 83           , -1            , -1                , -1             , 1                       , 1            , 1             , -1             , -1  , 49           ,
8196329, https://retrieverfunds.com/f/077263950280876800829427425401613318065058494422339905246080                                                                                                                                                                                                                                                                                                                                                                               , -1                                                                                                                                                                                                                                                                                                                                                                                                                                , 89           , -1            , -1                , -1             , 1                       , 1            , 0             , -1             , -1  , 18           ,
8196312, https://nullingthevoid.com/                                                                                                                                                                                                                                                                                                                                                                                                                                             , 1                                                                                                                                                                                                                                                                                                                                                                                                                                 , 27           , -1            , -1                , -1             , 1                       , 1            , 0             , 1              , -1  , 18           ,
8196311, https://dkbschutzwerk.com/de/Transaktionsverifizierung/TanBestatigen/DkrOiS0Qu/FsBf5ExLykEr82/DnF1fbpsi/OlEgp_XbQfK/?RhYSH=031320190&ZuM4RMr=YcAMWF3H6                                                                                                                                                                                                                                                                                                                  , 1                                                                                                                                                                                                                                                                                                                                                                                                                                 , 150          , -1            , -1                , -1             , 1                       , 1            , 0             , -1             , -1  , 17           ,
8196310, https://miles-and-more.keytheday.com/?ref=WUdiWDIGo2                                                                                                                                                                                                                                                                                                                                                                                                                    , 1                                                                                                                                                                                                                                                                                                                                                                                                                                 , 52           , -1            , -1                , -1             , 1                       , 1            , 1             , -1             , -1  , 28           ,
8196306, https://webletter.space/en/web_letter/6ukn7gs4wau4ro1fmnxcz7gxfbfo56pgeghfgofa                                                                                                                                                                                                                                                                                                                                                                                          , 1                                                                                                                                                                                                                                                                                                                                                                                                                                 , 78           , -1            , -1                , -1             , 1                       , 1            , 0             , 1              , -1  , 15           ,
8196300, http://ecfenterprises.com.au/bcr202323_/                                                                                                                                                                                                                                                                                                                                                                                                                                , -1                                                                                                                                                                                                                                                                                                                                                                                                                                , 40           , -1            , -1                , -1             , 1                       , 1            , 1             , 1              , -1  , 21           ,
8196299, https://zennessey-test.devteamtango.com/wp-admin/b/mhbmpire/home.php                                                                                                                                                                                                                                                                                                                                                                                                    , 1                                                                                                                                                                                                                                                                                                                                                                                                                                 , 68           , -1            , -1                , -1             , 1                       , 1            , 1             , 1              , -1  , 31           ,
8196298, http://ecfenterprises.com.au/banreserva211___/                                                                                                                                                                                                                                                                                                                                                                                                                          , -1                                                                                                                                                                                                                                                                                                                                                                                                                                , 46           , -1            , -1                , -1             , 1                       , 1            , 1             , -1             , -1  , 21           ,
8196297, https://agesports.net/hm/aspx.php                                                                                                                                                                                                                                                                                                                                                                                                                                       , 1                                                                                                                                                                                                                                                                                                                                                                                                                                 , 33           , -1            , -1                , -1             , 1                       , 1            , 0             , -1             , -1  , 13           ,
8196292, https://consorciocaixadigital.com.br/                                                                                                                                                                                                                                                                                                                                                                                                                                   , 1                                                                                                                                                                                                                                                                                                                                                                                                                                 , 37           , -1            , -1                , -1             , 1                       , 1            , 1             , 1              , -1  , 28           ,
8196285, https://www.sfr-collection.life/                                                                                                                                                                                                                                                                                                                                                                                                                                        , 1                                                                                                                                                                                                                                                                                                                                                                                                                                 , 32           , -1            , -1                , -1             , 1                       , 1            , 1             , 1              , -1  , 23           ,
