PhishID, PhishURL                                                                                                                                              , Result, Length of URL, Has IP address, Shortening Service, Having @ Symbol, Double Slash Redirecting, Prefix-Suffix, Has Sub-domain, SSL Final State, Port, Domain Length
8196332, https://flexxia.cleverapps.io/postch/tracking/j0pl1n/details.php?id=65415241                                                                          , 1     , 76           , -1            , -1                , -1             , 1                       , 1            , 1             , -1             , -1  , 21
8196331, https://recursing-blackwell.198-38-88-89.plesk.page/DHM/RDGDESDZRFSYJNOI/index.php?FGDD=1#HDHKJDJDSSJDSJKJDSJDSDJJDSHYKJHGFG                          , 1     , 124          , -1            , -1                , -1             , 1                       , 1            , 1             , -1             , -1  , 43
8196330, https://dhl.information.de.0905354133388.ajiwainosato.com/tracking/1548655?page=307                                                                   , -1    , 83           , -1            , -1                , -1             , 1                       , 1            , 1             , -1             , -1  , 49
8196329, https://retrieverfunds.com/f/077263950280876800829427425401613318065058494422339905246080                                                             , -1    , 89           , -1            , -1                , -1             , 1                       , 1            , 0             , -1             , -1  , 18
8196312, https://nullingthevoid.com/                                                                                                                           , 1     , 27           , -1            , -1                , -1             , 1                       , 1            , 0             , 1              , -1  , 18
8196311, https://dkbschutzwerk.com/de/Transaktionsverifizierung/TanBestatigen/DkrOiS0Qu/FsBf5ExLykEr82/DnF1fbpsi/OlEgp_XbQfK/?RhYSH=031320190&ZuM4RMr=YcAMWF3H6, 1     , 150          , -1            , -1                , -1             , 1                       , 1            , 0             , -1             , -1  , 17
8196310, https://miles-and-more.keytheday.com/?ref=WUdiWDIGo2                                                                                                  , 1     , 52           , -1            , -1                , -1             , 1                       , 1            , 1             , -1             , -1  , 28
8196306, https://webletter.space/en/web_letter/6ukn7gs4wau4ro1fmnxcz7gxfbfo56pgeghfgofa                                                                        , 1     , 78           , -1            , -1                , -1             , 1                       , 1            , 0             , 1              , -1  , 15
8196300, http://ecfenterprises.com.au/bcr202323_/                                                                                                              , -1    , 40           , -1            , -1                , -1             , 1                       , 1            , 1             , 1              , -1  , 21
8196148, https://is.gd/KlUS3a                                                                                                                                  , -1    , 20           , -1            , 1                 , -1             , 1                       , 1            , 0             , -1             , -1  , 5
8196145, https://t.co/uxeKPXDnPo                                                                                                                               , 1     , 23           , -1            , 1                 , -1             , 1                       , 1            , 0             , -1             , -1  , 4
8196136, https://is.gd/emecTG                                                                                                                                  , 1     , 20           , -1            , 1                 , -1             , 1                       , 1            , 0             , -1             , -1  , 5
8196125, https://t.co/nV2BcswJuC                                                                                                                               , 1     , 23           , -1            , 1                 , -1             , 1                       , 1            , 0             , -1             , -1  , 4
8196122, https://newassets.hcaptcha.com/captcha/v1/180e565/static/hcaptcha.html                                                                                , 1     , 70           , -1            , -1                , -1             , 1                       , 1            , 1             , 1              , -1  , 22
8196116, https://easyteach.co.il/ionos.de/                                                                                                                     , -1    , 33           , -1            , -1                , -1             , 1                       , 1            , 1             , -1             , -1  , 15
8196113, https://www.demolizioni-soscar-milano.it/Furdanir/Lucationi/fibr.php                                                                                  , 1     , 68           , -1            , -1                , -1             , 1                       , 1            , 1             , -1             , -1  , 32
8196108, https://compartamosredes.com/index?md=...                                                                                                             , -1    , 41           , -1            , -1                , -1             , 1                       , 1            , 0             , -1             , -1  , 20
8196100, https://carouselofprojects.com                                                                                                                        , 1     , 30           , -1            , -1                , -1             , 1                       , 1            , 0             , -1             , -1  , 22
8196093, https://disbution.fun/product/home/productOrder/ir42rbt4m800                                                                                          , 1     , 60           , -1            , -1                , -1             , 1                       , 1            , 0             , 1              , -1  , 13
8196091, https://feisequities.com/exchange/sign-in                                                                                                             , 1     , 41           , -1            , -1                , -1             , 1                       , 1            , 0             , -1             , -1  , 16
8196081, https://t.ly/U4cet                                                                                                                                    , 1     , 18           , -1            , -1                , -1             , 1                       , 1            , 0             , -1             , -1  , 4
8196079, https://www.hhhnhkab.com/                                                                                                                             , -1    , 25           , -1            , -1                , -1             , 1                       , 1            , 1             , -1             , -1  , 16
