Length of URL,Has IP address,Shortening Service,Having @ Symbol,Double Slash Redirecting,Prefix-Suffix,CTLD,HTTPS in Domain,Sensitive Words,Has Tilde,Has Port,PhishID,frequency_of_a_tags,frequency_of_alltags,presence_of_iframes,presence_of_popups,right_click_disabling,checking_sfh,request_url,url-of-anchor,links_in_meta_img,Result
1,1,1,1,1,-1,-1,-1,1,1,-1,8246829,0,0,1,1,1,-1,1,1,-1,-1
1,1,1,1,1,-1,0,-1,1,1,-1,8246828,0,0,1,1,1,1,1,1,0,-1
1,1,1,1,1,1,0,-1,1,1,-1,8246827,0,0,1,1,1,-1,-1,-1,1,-1
1,1,1,1,1,1,0,-1,1,1,-1,8246824,-1,0,1,1,1,-1,-1,-1,-1,-1
1,1,1,1,1,1,1,-1,1,1,-1,8246822,0,0,1,1,1,-1,-1,1,-1,-1
1,1,1,1,1,-1,1,-1,1,1,-1,8246810,0,0,1,1,1,1,1,1,1,-1
1,1,1,1,1,-1,1,-1,1,1,-1,8246807,1,0,1,1,1,-1,-1,1,0,-1
-1,1,1,1,1,1,0,-1,1,1,-1,8246804,0,0,1,1,1,-1,1,1,0,-1
1,1,1,1,1,-1,1,-1,1,1,-1,8246798,1,0,1,1,1,-1,-1,1,0,-1
-1,1,1,1,1,1,0,-1,1,1,-1,8246756,0,0,1,1,1,-1,1,1,0,-1
1,1,1,1,1,1,1,-1,1,1,-1,8246754,0,0,1,0,1,-1,-1,1,1,-1
0,1,1,1,1,1,0,-1,1,1,-1,8246753,-1,0,1,1,1,-1,-1,-1,-1,-1
1,1,1,1,1,1,0,-1,1,1,-1,8246752,-1,0,1,1,1,-1,-1,-1,-1,-1
1,1,1,1,1,1,0,-1,1,1,-1,8246751,-1,0,1,1,1,-1,-1,-1,-1,-1
1,1,1,1,1,-1,1,-1,1,1,-1,8246748,-1,0,1,1,1,-1,-1,-1,-1,-1
1,1,1,1,1,1,0,-1,1,1,-1,8246744,0,0,1,1,1,-1,1,-1,1,-1
1,1,1,1,1,-1,1,-1,-1,1,-1,8246742,0,0,1,1,1,-1,1,1,-1,-1
1,1,1,1,1,1,1,-1,1,1,-1,8246741,-1,0,1,1,1,-1,-1,-1,-1,-1
0,1,1,1,1,1,1,-1,1,1,-1,8246739,-1,0,1,1,1,-1,-1,-1,-1,-1
0,1,1,1,1,-1,0,-1,1,1,-1,8246738,-1,0,1,1,1,-1,-1,-1,-1,-1
1,1,1,1,1,-1,0,-1,1,1,-1,8246737,-1,0,1,1,1,-1,-1,-1,-1,-1
0,1,1,1,1,-1,0,-1,1,1,-1,8246733,0,0,1,1,1,-1,1,1,0,-1
1,1,1,1,1,-1,0,-1,1,1,-1,8246732,0,0,1,1,1,-1,1,1,1,-1
1,1,1,1,1,1,-1,-1,1,1,-1,8246731,0,0,1,1,1,-1,-1,-1,1,-1
1,1,1,1,1,-1,1,-1,1,1,-1,8246730,0,0,1,1,1,-1,1,1,1,-1
1,1,1,1,1,1,1,-1,1,1,-1,8246729,-1,0,1,1,1,-1,-1,0,0,-1
1,1,1,1,1,1,0,-1,1,1,-1,8246720,-1,0,1,1,1,-1,1,-1,1,-1
1,1,1,1,1,1,0,-1,1,1,-1,8246719,-1,0,1,1,1,-1,1,-1,-1,-1
1,1,1,1,1,-1,0,-1,1,1,-1,8246718,0,0,1,1,1,-1,-1,1,-1,-1
1,1,1,1,1,-1,0,-1,1,1,-1,8246717,0,0,1,1,1,-1,-1,1,-1,-1
1,1,1,1,1,1,0,-1,1,1,-1,8246716,0,0,1,0,1,1,1,1,-1,-1
1,1,1,1,1,1,0,-1,1,1,-1,8246715,0,0,1,0,1,1,1,1,-1,-1
1,1,1,1,1,-1,0,-1,1,1,-1,8246713,0,0,1,1,1,-1,1,1,-1,-1
1,1,1,1,1,1,0,-1,1,1,-1,8246712,0,0,1,1,1,-1,-1,1,1,-1
1,1,1,1,1,1,0,-1,1,1,-1,8246711,0,0,1,1,1,-1,-1,1,1,-1
1,1,1,1,1,1,0,-1,1,1,-1,8246709,-1,0,1,1,1,-1,1,-1,1,-1
1,1,1,1,1,1,0,-1,1,1,-1,8246708,-1,0,1,1,1,-1,1,-1,-1,-1
1,1,1,1,1,-1,0,-1,1,1,-1,8246707,0,0,1,1,1,1,1,1,-1,-1
1,1,1,1,1,-1,0,-1,1,1,-1,8246706,0,0,1,1,1,1,1,1,-1,-1
1,1,1,1,1,-1,0,-1,1,1,-1,8246691,0,0,1,1,1,-1,1,1,-1,-1
1,1,1,1,1,-1,0,-1,1,1,-1,8246690,0,0,1,1,1,-1,1,1,-1,-1
1,1,1,1,1,-1,0,-1,1,1,-1,8246689,-1,0,1,1,1,-1,1,-1,-1,-1
1,1,1,1,1,-1,0,-1,1,1,-1,8246688,-1,0,1,1,1,-1,1,-1,-1,-1
1,1,1,1,1,1,0,-1,1,1,-1,8246687,-1,0,1,1,1,-1,1,-1,1,-1
1,1,1,1,1,1,0,-1,1,1,-1,8246686,-1,0,1,1,1,-1,1,-1,-1,-1
1,1,1,1,1,1,0,-1,1,1,-1,8246683,0,0,1,1,1,-1,-1,1,1,-1
1,1,1,1,1,1,0,-1,1,1,-1,8246682,0,0,1,1,1,-1,-1,1,1,-1
1,1,1,1,1,1,0,-1,1,1,-1,8246681,-1,0,1,1,1,-1,-1,-1,-1,-1
1,1,1,1,1,1,0,-1,1,1,-1,8246680,-1,0,1,1,1,-1,-1,-1,-1,-1
1,1,1,1,1,1,0,-1,1,1,-1,8246679,0,0,1,1,1,-1,-1,1,1,-1
1,1,1,1,1,1,0,-1,1,1,-1,8246678,0,0,1,1,1,-1,-1,1,1,-1
1,1,1,1,1,1,1,-1,1,1,-1,8246667,0,0,1,1,1,1,1,1,1,-1
1,1,1,1,1,-1,0,-1,1,1,-1,8246650,0,0,1,1,1,-1,1,1,0,-1
1,1,1,1,1,-1,0,-1,1,1,-1,8246649,0,0,1,1,1,-1,1,1,0,-1
1,1,1,1,1,-1,0,-1,1,1,-1,8246646,0,0,1,0,1,1,1,1,-1,-1
1,1,1,1,1,-1,0,-1,1,1,-1,8246645,0,0,1,0,1,1,1,1,-1,-1
1,1,1,1,1,-1,0,-1,1,1,-1,8246644,0,0,1,1,1,-1,1,1,-1,-1
1,1,1,1,1,-1,0,-1,1,1,-1,8246643,0,0,1,1,1,-1,1,1,-1,-1
1,1,1,1,1,1,0,-1,1,1,-1,8246641,-1,0,1,1,1,-1,1,-1,-1,-1
1,1,1,1,1,1,0,-1,1,1,-1,8246640,0,0,1,0,1,-1,1,1,-1,-1
1,1,1,1,1,1,0,-1,1,1,-1,8246639,0,0,1,0,1,-1,1,1,-1,-1
1,1,1,1,1,-1,0,-1,1,1,-1,8246636,0,0,1,1,1,-1,-1,1,1,-1
1,1,1,1,1,-1,0,-1,1,1,-1,8246635,0,0,1,1,1,-1,-1,1,1,-1
1,1,1,1,1,-1,0,-1,1,1,-1,8246634,0,0,1,1,1,-1,1,1,-1,-1
1,1,1,1,1,-1,0,-1,1,1,-1,8246633,0,0,1,1,1,-1,1,1,-1,-1
1,1,1,1,1,-1,0,-1,1,1,-1,8246630,0,0,1,1,1,-1,1,1,1,-1
1,1,1,1,1,-1,0,-1,1,1,-1,8246629,0,0,1,1,1,-1,1,1,1,-1
