Length of URL,Has IP address,Shortening Service,Having @ Symbol,Double Slash Redirecting,Prefix-Suffix,CTLD,HTTPS in Domain,Sensitive Words,Has Tilde,Has Port,PhishID,frequency_of_a_tags,frequency_of_alltags,presence_of_iframes,presence_of_popups,right_click_disabling,checking_sfh,request_url,url-of-anchor,links_in_meta_img,check_hidden_content,Result
1,1,1,1,1,-1,-1,-1,1,1,-1,8246829,1,1,1,1,1,-1,1,1,-1,1,-1
1,1,1,1,1,-1,0,-1,1,1,-1,8246828,1,1,1,1,1,1,1,1,0,1,-1
1,1,1,1,1,1,0,-1,1,1,-1,8246827,-1,0,1,1,1,-1,-1,-1,1,1,-1
1,1,1,1,1,1,0,-1,1,1,-1,8246824,-1,1,1,1,1,-1,-1,-1,-1,1,-1
1,1,1,1,1,1,1,-1,1,1,-1,8246822,1,0,1,1,1,-1,-1,1,-1,-1,-1
1,1,1,1,1,-1,1,-1,1,1,-1,8246810,1,1,1,1,1,1,1,1,1,1,-1
1,1,1,1,1,-1,1,-1,1,1,-1,8246807,1,1,1,1,1,-1,-1,1,0,-1,-1
-1,1,1,1,1,1,0,-1,1,1,-1,8246804,1,1,1,1,1,-1,1,1,0,1,-1
1,1,1,1,1,-1,1,-1,1,1,-1,8246798,1,1,1,1,1,-1,-1,1,0,-1,-1
-1,1,1,1,1,1,0,-1,1,1,-1,8246756,1,1,1,1,1,-1,1,1,0,1,-1
1,1,1,1,1,1,1,-1,1,1,-1,8246754,1,1,1,1,1,-1,-1,1,1,1,-1
0,1,1,1,1,1,0,-1,1,1,-1,8246753,-1,1,1,1,1,-1,-1,-1,-1,-1,-1
1,1,1,1,1,1,0,-1,1,1,-1,8246752,-1,1,1,1,1,-1,-1,-1,-1,-1,-1
1,1,1,1,1,1,0,-1,1,1,-1,8246751,-1,1,1,1,1,-1,-1,-1,-1,-1,-1
1,1,1,1,1,-1,1,-1,1,1,-1,8246748,-1,0,1,1,1,-1,-1,-1,-1,1,-1
1,1,1,1,1,1,0,-1,1,1,-1,8246744,1,1,1,1,1,-1,1,-1,1,-1,-1
1,1,1,1,1,-1,1,-1,-1,1,-1,8246742,1,1,1,1,1,-1,1,1,-1,1,-1
1,1,1,1,1,1,1,-1,1,1,-1,8246741,-1,1,1,1,1,-1,-1,-1,-1,1,-1
0,1,1,1,1,1,1,-1,1,1,-1,8246739,-1,1,1,1,1,-1,-1,-1,-1,1,-1
0,1,1,1,1,-1,0,-1,1,1,-1,8246738,-1,1,1,1,1,-1,-1,-1,-1,-1,-1
1,1,1,1,1,-1,0,-1,1,1,-1,8246737,-1,1,1,1,1,-1,-1,-1,-1,-1,-1
0,1,1,1,1,-1,0,-1,1,1,-1,8246733,1,1,1,1,1,-1,1,1,0,1,-1
1,1,1,1,1,-1,0,-1,1,1,-1,8246732,1,1,1,1,1,-1,1,1,1,1,-1
1,1,1,1,1,1,-1,-1,1,1,-1,8246731,1,0,1,1,1,-1,-1,-1,1,1,-1
1,1,1,1,1,-1,1,-1,1,1,-1,8246730,1,1,1,1,1,-1,1,1,1,1,-1
1,1,1,1,1,1,1,-1,1,1,-1,8246729,-1,0,1,1,1,-1,-1,0,0,1,-1
1,1,1,1,1,1,0,-1,1,1,-1,8246720,-1,1,1,1,1,-1,1,-1,1,1,-1
1,1,1,1,1,1,0,-1,1,1,-1,8246719,-1,1,1,1,1,-1,1,-1,-1,1,-1
1,1,1,1,1,-1,0,-1,1,1,-1,8246718,1,1,1,1,1,-1,-1,1,-1,-1,-1
1,1,1,1,1,-1,0,-1,1,1,-1,8246717,1,1,1,1,1,-1,-1,1,-1,-1,-1
1,1,1,1,1,1,0,-1,1,1,-1,8246716,1,1,1,1,1,1,1,1,-1,1,-1
1,1,1,1,1,1,0,-1,1,1,-1,8246715,1,1,1,1,1,1,1,1,-1,1,-1
1,1,1,1,1,-1,0,-1,1,1,-1,8246713,1,1,1,1,1,-1,1,1,-1,1,-1
1,1,1,1,1,1,0,-1,1,1,-1,8246712,1,0,1,1,1,-1,-1,1,1,1,-1
1,1,1,1,1,1,0,-1,1,1,-1,8246711,1,0,1,1,1,-1,-1,1,1,1,-1
1,1,1,1,1,1,0,-1,1,1,-1,8246709,-1,1,1,1,1,-1,1,-1,1,1,-1
1,1,1,1,1,1,0,-1,1,1,-1,8246708,-1,1,1,1,1,-1,1,-1,-1,1,-1
1,1,1,1,1,-1,0,-1,1,1,-1,8246707,1,1,1,1,1,1,1,1,-1,1,-1
1,1,1,1,1,-1,0,-1,1,1,-1,8246706,1,1,1,1,1,1,1,1,-1,1,-1
1,1,1,1,1,-1,0,-1,1,1,-1,8246691,1,1,1,1,1,-1,1,1,-1,1,-1
1,1,1,1,1,-1,0,-1,1,1,-1,8246690,1,1,1,1,1,-1,1,1,-1,1,-1
1,1,1,1,1,-1,0,-1,1,1,-1,8246689,-1,1,1,1,1,-1,1,-1,-1,1,-1
1,1,1,1,1,-1,0,-1,1,1,-1,8246688,-1,1,1,1,1,-1,1,-1,-1,1,-1
1,1,1,1,1,1,0,-1,1,1,-1,8246687,-1,1,1,1,1,-1,1,-1,1,1,-1
1,1,1,1,1,1,0,-1,1,1,-1,8246686,-1,1,1,1,1,-1,1,-1,-1,1,-1
1,1,1,1,1,1,0,-1,1,1,-1,8246683,1,0,1,1,1,-1,-1,1,1,1,-1
1,1,1,1,1,1,0,-1,1,1,-1,8246682,1,0,1,1,1,-1,-1,1,1,1,-1
1,1,1,1,1,1,0,-1,1,1,-1,8246681,-1,0,1,1,1,-1,-1,-1,-1,1,-1
1,1,1,1,1,1,0,-1,1,1,-1,8246680,-1,0,1,1,1,-1,-1,-1,-1,1,-1
1,1,1,1,1,1,0,-1,1,1,-1,8246679,1,0,1,1,1,-1,-1,1,1,1,-1
1,1,1,1,1,1,0,-1,1,1,-1,8246678,1,0,1,1,1,-1,-1,1,1,1,-1
1,1,1,1,1,1,1,-1,1,1,-1,8246667,1,1,1,1,1,1,1,1,1,1,-1
1,1,1,1,1,-1,0,-1,1,1,-1,8246650,1,1,1,1,1,-1,1,1,0,1,-1
1,1,1,1,1,-1,0,-1,1,1,-1,8246649,1,1,1,1,1,-1,1,1,0,1,-1
1,1,1,1,1,-1,0,-1,1,1,-1,8246646,1,1,1,1,1,1,1,1,-1,1,-1
