Length of URL,Has IP address,Shortening Service,Having @ Symbol,Double Slash Redirecting,Prefix-Suffix,CTLD,HTTPS in Domain,Sensitive Words,Has Tilde,Has Port,PhishID,frequency_of_a_tags,frequency_of_alltags,presence_of_iframes,presence_of_popups,right_click_disabling,checking_sfh,request_url,url-of-anchor,links_in_meta_img,check_hidden_content,Current Domain Age,Matching Domain Name,Length of Domain,Google page index,Result
1,1,1,1,1,-1,-1,-1,1,1,-1,8246829,1,1,1,1,1,-1,1,1,-1,1,0,0,0,-1,1
1,1,1,1,1,-1,0,-1,1,1,-1,8246828,1,1,1,1,1,1,1,1,0,1,0,0,0,-1,-1
1,1,1,1,1,1,0,-1,1,1,-1,8246827,-1,0,1,1,1,-1,-1,-1,1,1,1,-1,1,-1,-1
1,1,1,1,1,1,0,-1,1,1,-1,8246824,-1,1,1,1,1,-1,-1,-1,-1,1,-1,-1,1,-1,-1
1,1,1,1,1,1,1,-1,1,1,-1,8246822,1,0,1,1,1,-1,-1,1,-1,-1,0,0,0,-1,-1
1,1,1,1,1,-1,1,-1,1,1,-1,8246810,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1
1,1,1,1,1,-1,1,-1,1,1,-1,8246807,1,1,1,1,1,-1,-1,1,0,-1,-1,-1,1,-1,-1
-1,1,1,1,1,1,0,-1,1,1,-1,8246804,1,1,1,1,1,-1,1,1,0,1,1,-1,1,-1,1
1,1,1,1,1,-1,1,-1,1,1,-1,8246798,1,1,1,1,1,-1,-1,1,0,-1,-1,-1,1,-1,1
-1,1,1,1,1,1,0,-1,1,1,-1,8246756,1,1,1,1,1,-1,1,1,0,1,1,-1,1,-1,-1
1,1,1,1,1,1,1,-1,1,1,-1,8246754,1,1,1,1,1,-1,-1,1,1,1,1,1,1,-1,-1
0,1,1,1,1,1,0,-1,1,1,-1,8246753,-1,1,1,1,1,-1,-1,-1,-1,-1,1,-1,1,-1,1
1,1,1,1,1,1,0,-1,1,1,-1,8246752,-1,1,1,1,1,-1,-1,-1,-1,-1,1,-1,1,-1,1
1,1,1,1,1,1,0,-1,1,1,-1,8246751,-1,1,1,1,1,-1,-1,-1,-1,-1,1,-1,1,-1,-1
1,1,1,1,1,-1,1,-1,1,1,-1,8246748,-1,0,1,1,1,-1,-1,-1,-1,1,-1,-1,1,-1,1
1,1,1,1,1,1,0,-1,1,1,-1,8246744,1,1,1,1,1,-1,1,-1,1,-1,-1,-1,1,1,1
1,1,1,1,1,-1,1,-1,-1,1,-1,8246742,1,1,1,1,1,-1,1,1,-1,1,-1,-1,1,1,1
1,1,1,1,1,1,1,-1,1,1,-1,8246741,-1,1,1,1,1,-1,-1,-1,-1,1,0,0,0,1,1
0,1,1,1,1,1,1,-1,1,1,-1,8246739,-1,1,1,1,1,-1,-1,-1,-1,1,0,0,0,1,1
0,1,1,1,1,-1,0,-1,1,1,-1,8246738,-1,1,1,1,1,-1,-1,-1,-1,-1,1,-1,1,1,-1
1,1,1,1,1,-1,0,-1,1,1,-1,8246737,-1,1,1,1,1,-1,-1,-1,-1,-1,1,-1,1,1,-1
1,1,1,1,1,-1,0,-1,1,1,-1,8246732,1,1,1,1,1,-1,1,1,1,1,0,0,0,1,1
1,1,1,1,1,1,-1,-1,1,1,-1,8246731,1,0,1,1,1,-1,-1,-1,1,1,1,-1,1,1,1
1,1,1,1,1,-1,1,-1,1,1,-1,8246730,1,1,1,1,1,-1,1,1,1,1,0,0,0,1,1
1,1,1,1,1,1,1,-1,1,1,-1,8246729,-1,0,1,1,1,-1,-1,0,0,1,1,1,1,1,1
1,1,1,1,1,1,0,-1,1,1,-1,8246720,-1,1,1,1,1,-1,1,-1,1,1,0,0,0,1,-1
1,1,1,1,1,-1,0,-1,1,1,-1,8246718,1,1,1,1,1,-1,-1,1,-1,-1,0,0,0,1,-1
1,1,1,1,1,1,0,-1,1,1,-1,8246716,1,1,1,1,1,1,1,1,-1,1,0,0,0,1,1
1,1,1,1,1,1,0,-1,1,1,-1,8246712,1,0,1,1,1,-1,-1,1,1,1,0,0,0,1,1
1,1,1,1,1,1,0,-1,1,1,-1,8246709,-1,1,1,1,1,-1,1,-1,1,1,0,0,0,1,1
1,1,1,1,1,-1,0,-1,1,1,-1,8246707,1,1,1,1,1,1,1,1,-1,1,0,0,0,1,1
1,1,1,1,1,-1,0,-1,1,1,-1,8246691,1,1,1,1,1,-1,1,1,-1,1,0,0,0,1,1
1,1,1,1,1,-1,0,-1,1,1,-1,8246689,-1,1,1,1,1,-1,1,-1,-1,1,0,0,0,1,-1
1,1,1,1,1,1,0,-1,1,1,-1,8246687,-1,1,1,1,1,-1,1,-1,1,1,0,0,0,1,-1
1,1,1,1,1,1,0,-1,1,1,-1,8246683,1,0,1,1,1,-1,-1,1,1,1,0,0,0,1,1
1,1,1,1,1,1,0,-1,1,1,-1,8246681,-1,0,1,1,1,-1,-1,-1,-1,1,0,0,0,1,1
1,1,1,1,1,1,0,-1,1,1,-1,8246679,1,0,1,1,1,-1,-1,1,1,1,0,0,0,1,-1
1,1,1,1,1,1,1,-1,1,1,-1,8246667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1
1,1,1,1,1,-1,0,-1,1,1,-1,8246650,1,1,1,1,1,-1,1,1,0,1,0,0,0,1,1
1,1,1,1,1,-1,0,-1,1,1,-1,8246646,1,1,1,1,1,1,1,1,-1,1,0,0,0,1,1
1,1,1,1,1,-1,0,-1,1,1,-1,8246644,1,1,1,1,1,-1,1,1,-1,1,0,0,0,1,1
1,1,1,1,1,1,0,-1,1,1,-1,8246640,1,1,1,1,1,-1,1,1,-1,1,0,0,0,1,-1
1,1,1,1,1,-1,0,-1,1,1,-1,8246636,1,0,1,1,1,-1,-1,1,1,1,0,0,0,1,-1
1,1,1,1,1,-1,0,-1,1,1,-1,8246634,1,1,1,1,1,-1,1,1,-1,1,0,0,0,1,-1
1,1,1,1,1,-1,0,-1,1,1,-1,8246630,1,1,1,1,1,-1,1,1,1,1,0,0,0,1,1
1,1,1,1,1,-1,0,-1,1,1,-1,8246628,1,1,1,1,1,1,1,1,-1,1,0,0,0,1,1
1,1,1,1,1,-1,1,-1,-1,1,-1,8246624,1,0,1,1,1,-1,-1,-1,-1,1,-1,-1,1,1,1
-1,1,1,1,1,1,-1,-1,1,1,-1,8246623,1,1,1,1,1,1,1,1,-1,1,1,-1,1,1,-1
-1,1,1,1,1,-1,-1,-1,1,1,-1,8246599,1,0,1,1,1,-1,-1,1,-1,-1,1,-1,1,1,-1
-1,1,1,1,1,1,-1,-1,1,1,-1,8246591,1,0,1,1,1,-1,-1,1,-1,-1,1,-1,1,1,-1
-1,1,1,1,1,1,0,-1,1,1,-1,8246589,1,0,1,1,1,-1,-1,1,-1,-1,1,-1,1,1,-1
-1,1,1,1,1,-1,1,-1,1,1,-1,8246588,1,0,1,1,1,-1,-1,1,-1,-1,1,-1,1,1,-1
-1,1,1,1,1,1,-1,-1,1,1,-1,8246587,1,0,1,1,1,-1,-1,1,-1,-1,1,-1,1,1,-1
-1,1,1,1,1,-1,1,-1,1,1,-1,8246586,1,1,1,1,1,1,1,1,-1,1,1,-1,1,1,-1
-1,1,1,1,1,1,1,-1,1,1,-1,8246585,1,0,1,1,1,-1,-1,1,-1,-1,1,-1,1,1,-1
1,1,1,1,1,-1,0,-1,1,1,-1,8246584,1,0,1,1,1,-1,-1,-1,-1,1,0,0,0,1,-1
-1,1,1,1,1,-1,-1,-1,1,1,-1,8246583,1,0,1,1,1,-1,-1,1,-1,-1,1,-1,1,1,-1
-1,1,1,1,1,-1,-1,-1,1,1,-1,8246578,1,0,1,1,1,-1,-1,-1,-1,-1,1,-1,1,1,-1
0,1,1,1,1,-1,1,-1,1,1,-1,8246577,1,0,1,1,1,-1,-1,-1,-1,-1,1,-1,1,1,-1
1,1,1,1,1,1,1,-1,1,1,-1,8246575,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,-1
-1,1,1,1,1,-1,-1,-1,1,1,-1,8246572,1,1,1,1,1,1,1,1,-1,1,1,-1,1,1,-1
-1,1,1,1,1,1,-1,-1,1,1,-1,8246570,1,0,1,1,1,-1,-1,-1,-1,-1,1,-1,1,1,-1
0,1,1,1,1,1,1,-1,1,1,-1,8246569,1,0,1,1,1,-1,-1,-1,-1,-1,1,-1,1,1,1
-1,1,1,1,1,1,-1,-1,1,1,-1,8246568,1,1,1,1,1,1,1,1,-1,1,0,0,0,1,1
-1,1,1,1,1,1,-1,-1,1,1,-1,8246567,1,1,1,1,1,1,1,1,-1,1,1,-1,1,1,1
0,1,1,1,1,-1,1,-1,1,1,-1,8246566,1,0,1,1,1,-1,-1,-1,-1,-1,1,-1,1,1,1
-1,1,1,1,1,1,0,-1,1,1,-1,8246564,1,1,1,1,1,1,1,1,-1,1,1,-1,1,1,1
-1,1,1,1,1,-1,-1,-1,1,1,-1,8246563,1,1,1,1,1,1,1,1,-1,1,1,-1,1,1,1
-1,1,1,1,1,1,1,-1,1,1,-1,8246562,1,1,1,1,1,1,1,1,-1,1,1,-1,1,1,-1
-1,1,1,1,1,1,-1,-1,1,1,-1,8246561,1,1,1,1,1,1,1,1,-1,1,1,-1,1,1,-1
-1,1,1,1,1,-1,-1,-1,1,1,-1,8246559,1,1,1,1,1,1,1,1,-1,1,1,-1,1,1,-1
-1,1,1,1,1,1,-1,-1,1,1,-1,8246558,1,0,1,1,1,-1,-1,-1,-1,-1,0,0,0,1,-1
0,1,1,1,1,1,1,-1,1,1,-1,8246557,1,0,1,1,1,-1,-1,-1,-1,-1,1,-1,1,1,-1
-1,1,1,1,1,-1,-1,-1,1,1,-1,8246556,1,0,1,1,1,-1,-1,-1,-1,-1,1,-1,1,1,-1
-1,1,1,1,1,1,1,-1,1,1,-1,8246555,1,0,1,1,1,-1,-1,-1,-1,-1,1,-1,1,1,-1
-1,1,1,1,1,1,-1,-1,1,1,-1,8246554,1,0,1,1,1,-1,-1,-1,-1,-1,1,-1,1,1,-1
-1,1,1,1,1,1,0,-1,1,1,-1,8246553,1,0,1,1,1,-1,-1,-1,-1,-1,1,-1,1,1,-1
-1,1,1,1,1,1,-1,-1,1,1,-1,8246552,1,1,1,1,1,-1,-1,1,-1,-1,0,0,0,1,-1
-1,1,1,1,1,1,-1,-1,1,1,-1,8246551,1,1,1,1,1,-1,-1,1,-1,-1,0,0,0,1,-1
-1,1,1,1,1,1,-1,-1,1,1,-1,8246549,1,0,1,1,1,-1,-1,-1,-1,-1,1,-1,1,1,-1
-1,1,1,1,1,-1,-1,-1,1,1,-1,8246548,1,1,1,1,1,-1,-1,1,-1,-1,1,-1,1,1,-1
-1,1,1,1,1,1,0,-1,1,1,-1,8246546,1,1,1,1,1,-1,-1,1,-1,-1,1,-1,1,1,-1
-1,1,1,1,1,1,0,-1,1,1,-1,8246545,1,1,1,1,1,-1,-1,1,-1,-1,1,-1,1,1,-1
-1,1,1,1,1,1,-1,-1,1,1,-1,8246544,1,1,1,1,1,-1,-1,1,-1,-1,1,-1,1,1,-1
0,1,1,1,1,1,1,-1,1,1,-1,8246543,1,1,1,1,1,-1,-1,1,-1,-1,1,-1,1,1,-1
-1,1,1,1,1,1,-1,-1,1,1,-1,8246542,1,1,1,1,1,-1,-1,1,-1,-1,1,-1,1,1,-1
-1,1,1,1,1,1,1,-1,1,1,-1,8246541,1,1,1,1,1,-1,-1,1,-1,-1,1,-1,1,1,-1
-1,1,1,1,1,1,1,-1,1,1,-1,8246540,1,1,1,1,1,-1,-1,1,-1,-1,1,-1,1,1,-1
-1,1,1,1,1,-1,1,-1,1,1,-1,8246539,1,1,1,1,1,-1,-1,1,-1,-1,1,-1,1,1,-1
0,1,1,1,1,-1,1,-1,1,1,-1,8246538,1,1,1,1,1,-1,-1,1,-1,-1,1,-1,1,1,-1
-1,1,1,1,1,-1,-1,-1,1,1,-1,8246537,1,1,1,1,1,-1,-1,1,-1,-1,1,-1,1,1,-1
-1,1,1,1,1,-1,1,-1,1,1,-1,8246536,1,1,1,1,1,-1,-1,1,-1,-1,1,-1,1,1,-1
0,1,1,1,1,1,1,-1,1,1,-1,8246535,1,1,1,1,1,-1,-1,1,-1,-1,1,-1,1,1,-1
0,1,1,1,1,1,1,-1,1,1,-1,8246534,1,1,1,1,1,-1,-1,1,-1,-1,1,-1,1,1,-1
-1,1,1,1,1,-1,1,-1,1,1,-1,8246533,1,1,1,1,1,-1,-1,1,-1,-1,1,-1,1,1,-1
-1,1,1,1,1,1,1,-1,1,1,-1,8246532,1,1,1,1,1,-1,-1,1,-1,-1,1,-1,1,1,-1
-1,1,1,1,1,1,1,-1,1,1,-1,8246530,1,1,1,1,1,-1,-1,1,-1,-1,1,-1,1,1,-1
-1,1,1,1,1,-1,-1,-1,1,1,-1,8246528,1,1,1,1,1,-1,-1,1,-1,-1,1,-1,1,1,-1
-1,1,1,1,1,1,-1,-1,1,1,-1,8246527,1,1,1,1,1,-1,-1,1,-1,-1,1,-1,1,1,-1
-1,1,1,1,1,1,0,-1,1,1,-1,8246526,1,1,1,1,1,-1,-1,1,-1,-1,1,-1,1,1,-1
-1,1,1,1,1,1,1,-1,1,1,-1,8246524,1,1,1,1,1,-1,-1,1,-1,-1,1,-1,1,1,-1
-1,1,1,1,1,1,-1,-1,1,1,-1,8246522,1,1,1,1,1,-1,-1,1,-1,-1,1,-1,1,1,-1
-1,1,1,1,1,-1,-1,-1,1,1,-1,8246517,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,-1
0,1,1,1,1,-1,1,-1,1,1,-1,8246516,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,-1
-1,1,1,1,1,1,-1,-1,1,1,-1,8246513,1,1,1,1,1,1,1,1,1,1,0,0,0,1,-1
-1,1,1,1,1,-1,-1,-1,1,1,-1,8246511,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,-1
-1,1,1,1,1,-1,-1,-1,1,1,-1,8246510,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,-1
-1,1,1,1,1,-1,1,-1,1,1,-1,8246509,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,-1
-1,1,1,1,1,1,-1,-1,1,1,-1,8246508,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1
-1,1,1,1,1,1,-1,-1,1,1,-1,8246507,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1
0,1,1,1,1,1,1,-1,1,1,-1,8246506,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1
-1,1,1,1,1,1,0,-1,1,1,-1,8246504,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1
-1,1,1,1,1,1,1,-1,1,1,-1,8246503,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1
0,1,1,1,1,-1,1,-1,1,1,-1,8246502,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,-1
-1,1,1,1,1,-1,1,-1,1,1,-1,8246501,1,0,1,1,1,-1,-1,-1,-1,-1,1,-1,1,1,1
0,1,1,1,1,1,1,-1,1,1,-1,8246500,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,-1
-1,1,1,1,1,-1,-1,-1,1,1,-1,8246498,1,0,1,1,1,-1,-1,-1,-1,-1,1,-1,1,1,-1
-1,1,1,1,1,1,-1,-1,1,1,-1,8246497,1,0,1,1,1,-1,-1,-1,-1,-1,1,-1,1,1,1
-1,1,1,1,1,1,0,-1,1,1,-1,8246496,1,0,1,1,1,-1,-1,-1,-1,-1,1,-1,1,1,1
-1,1,1,1,1,-1,-1,-1,1,1,-1,8246495,1,0,1,1,1,-1,-1,-1,-1,-1,1,-1,1,1,-1
-1,1,1,1,1,1,1,-1,1,1,-1,8246494,1,0,1,1,1,-1,-1,-1,-1,-1,1,-1,1,1,-1
-1,1,1,1,1,-1,-1,-1,1,1,-1,8246493,1,1,1,1,1,1,1,1,-1,1,1,-1,1,1,1
-1,1,1,1,1,1,-1,-1,1,1,-1,8246492,1,0,1,1,1,-1,-1,-1,-1,-1,1,-1,1,1,1
-1,1,1,1,1,-1,-1,-1,1,1,-1,8246491,1,1,1,1,1,1,1,1,-1,1,1,-1,1,1,-1
-1,1,1,1,1,-1,1,-1,1,1,-1,8246490,1,1,1,1,1,1,1,1,-1,1,1,-1,1,1,-1
-1,1,1,1,1,1,-1,-1,1,1,-1,8246489,1,1,1,1,1,1,1,1,-1,1,1,-1,1,1,1
-1,1,1,1,1,1,0,-1,1,1,-1,8246488,1,1,1,1,1,1,1,1,-1,1,1,-1,1,1,1
-1,1,1,1,1,1,-1,-1,1,1,-1,8246487,1,1,1,1,1,1,1,1,-1,1,1,-1,1,1,-1
-1,1,1,1,1,1,1,-1,1,1,-1,8246486,1,1,1,1,1,1,1,1,-1,1,1,-1,1,1,1
-1,1,1,1,1,-1,-1,-1,1,1,-1,8246485,1,1,1,1,1,1,1,1,-1,1,1,-1,1,1,1
-1,1,1,1,1,-1,1,-1,1,1,-1,8246484,1,1,1,1,1,1,1,1,-1,1,1,-1,1,1,-1
-1,1,1,1,1,1,-1,-1,1,1,-1,8246483,1,1,1,1,1,1,1,1,-1,1,1,-1,1,1,-1
-1,1,1,1,1,1,0,-1,1,1,-1,8246482,1,1,1,1,1,1,1,1,-1,1,1,-1,1,1,1
-1,1,1,1,1,1,1,-1,1,1,-1,8246481,1,1,1,1,1,1,1,1,-1,1,1,-1,1,1,1
