Phish ID, URL
8138397 , https://btmysitebdhd.square.site/added on May 5th 2023 10:07 AM
8138395 , http://www.cuag.fit/added on May 5th 2023 10:04 AM
8138394 , https://secure.logmeinrescue.eu/Customer/Code.aspx...added on May 5th 2023 10:02 AM
8138393 , https://aavemobilecoin.com/added on May 5th 2023 9:45 AM
8138390 , https://docs.google.com/presentation/d/e/2PACX-1vQT1khyyGa9zQclqB6ZFpN...added on May 5th 2023 9:36 AM
8138389 , http://www.zqdu.art/added on May 5th 2023 9:35 AM
8138387 , https://docs.google.com/presentation/d/e/2PACX-1vQkD7CnVpGenP49x43QGbM...added on May 5th 2023 9:30 AM
8138385 , http://jibsensbrnk.comadded on May 5th 2023 9:26 AM
8138381 , https://docs.google.com/presentation/d/e/2PACX-1vTru4T2xswdMwwbDtHowma...added on May 5th 2023 9:20 AM
8138380 , https://panatlanticvenezuela.com/whidhet/fd89b62add6281ea0/...added on May 5th 2023 9:19 AM
8138379 , http://www.ysor.fit/added on May 5th 2023 9:12 AM
8138378 , https://emonitoring.poczta-polska.pl/added on May 5th 2023 9:11 AM
8138377 , http://xlvewvtr.vipadded on May 5th 2023 9:11 AM
8138376 , https://docs.google.com/presentation/d/e/2PACX-1vR9GTzFk_i13a-vIKTn0sD...added on May 5th 2023 9:04 AM
8138375 , https://docs.google.com/presentation/d/e/2PACX-1vTrQn6YVIPT4Y_ZEb2MDW6...added on May 5th 2023 9:03 AM
8138374 , https://docs.google.com/presentation/d/e/2PACX-1vSUHfynGr0szg3krc6KEfN...added on May 5th 2023 9:00 AM
8138371 , http://www.tkow.ink/added on May 5th 2023 8:54 AM
8138368 , https://defisyncapp.pages.dev/added on May 5th 2023 8:41 AM
8138364 , https://docs.google.com/presentation/d/e/2PACX-1vRX4-Ny-NjoVmtqUqU6mIx...added on May 5th 2023 8:38 AM
8138363 , http://www.iodw.cc/added on May 5th 2023 8:38 AM
