Length of URL,Has IP address,Shortening Service,Having @ Symbol,Double Slash Redirecting,Prefix-Suffix,CTLD,HTTPS in Domain,Sensitive Words,Has Tilde,Has Port,PhishID,frequency_of_a_tags,frequency_of_alltags,presence_of_iframes,presence_of_popups,right_click_disabling,checking_sfh,request_url,url-of-anchor,links_in_meta_img,check_hidden_content,Current Domain Age,Matching Domain Name,Length of Domain,Google page index
1,1,1,1,1,1,0,-1,1,1,-1,8276365,1,1,1,1,1,-1,-1,-1,0,1,0,0,0,-1
-1,1,1,1,1,1,-1,-1,-1,1,-1,8276363,1,1,1,1,1,-1,1,1,-1,1,1,-1,1,-1
-1,1,1,1,1,-1,-1,-1,-1,1,-1,8276361,1,1,1,1,1,-1,1,1,-1,1,1,-1,1,-1
-1,1,1,1,1,-1,-1,-1,-1,1,-1,8276360,1,1,1,1,1,-1,1,1,-1,1,1,-1,1,-1
-1,1,1,1,1,-1,-1,-1,-1,1,-1,8276359,1,1,1,1,1,-1,1,1,-1,1,1,-1,1,-1
-1,1,1,1,1,1,-1,-1,-1,1,-1,8276358,1,1,1,1,1,-1,1,1,-1,1,1,-1,1,-1
-1,1,1,1,1,1,-1,-1,-1,1,-1,8276357,1,1,1,1,1,-1,1,1,-1,1,1,-1,1,-1
-1,1,1,1,1,1,-1,-1,-1,1,-1,8276356,1,1,1,1,1,-1,1,1,-1,1,1,-1,1,-1
-1,1,1,1,1,1,-1,-1,-1,1,-1,8276355,1,1,1,1,1,-1,1,1,-1,1,1,-1,1,-1
-1,1,1,1,1,-1,-1,-1,-1,1,-1,8276354,1,1,1,1,1,-1,1,1,-1,1,1,-1,1,-1
-1,1,1,1,1,-1,-1,-1,-1,1,-1,8276353,1,1,1,1,1,-1,1,1,-1,1,1,-1,1,-1
-1,1,1,1,1,-1,-1,-1,-1,1,-1,8276352,1,1,1,1,1,-1,1,1,-1,1,1,-1,1,-1
1,1,1,1,1,1,0,-1,1,1,-1,8276346,-1,0,1,1,1,-1,-1,-1,1,-1,1,-1,1,-1
1,1,1,1,1,1,0,-1,1,1,-1,8276345,1,1,1,1,1,-1,-1,-1,-1,1,0,0,0,1
1,1,1,1,1,1,0,-1,1,1,-1,8276344,1,1,1,1,1,-1,-1,-1,-1,1,0,0,0,1
-1,1,1,1,-1,1,0,-1,1,1,-1,8276343,1,1,1,1,1,-1,1,1,-1,1,1,-1,1,1
-1,1,1,1,-1,1,0,-1,1,1,-1,8276342,1,1,1,1,1,-1,1,1,-1,1,1,-1,1,1
-1,1,1,1,-1,1,0,-1,1,1,-1,8276341,1,1,1,1,1,-1,1,1,-1,1,1,-1,1,1
-1,1,1,1,-1,1,0,-1,1,1,-1,8276340,1,1,1,1,1,-1,1,1,-1,1,1,-1,1,1
-1,1,1,1,-1,1,0,-1,1,1,-1,8276339,1,1,1,1,1,-1,1,1,-1,1,1,-1,1,1
1,1,1,1,1,-1,0,-1,1,1,-1,8276336,1,0,1,1,1,-1,-1,1,-1,1,0,0,0,-1
1,1,1,1,1,1,0,-1,1,1,-1,8276335,-1,0,1,1,1,-1,-1,-1,1,-1,1,-1,1,-1
1,1,1,1,1,1,1,-1,1,1,-1,8276334,1,1,1,1,1,-1,1,-1,1,1,1,1,1,-1
-1,1,1,1,-1,1,-1,-1,-1,1,-1,8276332,1,1,1,1,1,-1,-1,1,1,1,0,-1,0,-1
-1,1,1,1,-1,1,-1,-1,-1,1,-1,8276331,1,1,1,1,1,-1,-1,1,1,1,0,-1,0,-1
-1,1,1,1,-1,1,-1,-1,-1,1,-1,8276330,1,1,1,1,1,-1,-1,1,1,1,0,-1,0,-1
0,1,1,1,1,1,-1,-1,-1,1,-1,8276329,1,1,1,1,1,-1,1,1,-1,1,0,-1,0,-1
-1,1,1,1,1,-1,-1,-1,-1,1,-1,8276302,1,1,1,1,1,-1,1,1,-1,1,1,-1,1,-1
-1,1,1,1,1,1,-1,-1,-1,1,-1,8276298,1,1,1,1,1,-1,1,1,-1,1,0,-1,0,-1
-1,1,1,1,1,1,-1,-1,-1,1,-1,8276297,1,1,1,1,1,-1,1,1,-1,1,0,-1,0,-1
-1,1,1,1,1,1,-1,-1,-1,1,-1,8276296,1,1,1,1,1,-1,1,1,-1,1,0,-1,0,-1
-1,1,1,1,1,1,-1,-1,-1,1,-1,8276295,1,1,1,1,1,-1,1,1,-1,1,1,-1,1,-1
-1,1,1,1,-1,-1,-1,-1,-1,1,-1,8276294,1,1,1,1,1,-1,-1,1,1,1,0,-1,0,-1
-1,1,1,1,-1,-1,-1,-1,-1,1,-1,8276293,1,1,1,1,1,-1,-1,1,1,1,0,-1,0,-1
-1,1,-1,1,-1,1,-1,-1,-1,1,-1,8276287,1,1,1,1,1,-1,-1,1,1,1,1,-1,1,-1
-1,1,1,1,-1,1,-1,-1,-1,1,-1,8276286,1,1,1,1,1,-1,-1,1,1,1,1,-1,1,-1
-1,1,1,1,-1,1,-1,-1,-1,1,-1,8276285,1,1,1,1,1,-1,-1,1,1,1,0,-1,0,-1
-1,1,1,1,-1,1,-1,-1,-1,1,-1,8276284,1,1,1,1,1,-1,-1,1,1,1,0,-1,0,-1
-1,1,1,1,-1,1,-1,-1,-1,1,-1,8276283,1,1,1,1,1,-1,-1,1,1,1,0,-1,0,-1
-1,1,1,1,-1,-1,-1,-1,-1,1,-1,8276279,1,1,1,1,1,-1,-1,1,1,1,1,-1,1,-1
-1,1,1,1,-1,-1,-1,-1,-1,1,-1,8276278,1,1,1,1,1,-1,-1,1,1,1,1,-1,1,-1
-1,1,1,1,-1,-1,-1,-1,-1,1,-1,8276265,1,1,1,1,1,-1,-1,1,1,1,1,-1,1,-1
-1,1,1,1,-1,-1,-1,-1,-1,1,-1,8276264,1,1,1,1,1,-1,-1,1,1,1,1,-1,1,-1
-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,8276263,1,1,1,1,1,-1,-1,1,1,1,1,-1,1,-1
-1,1,-1,1,-1,-1,-1,-1,-1,1,-1,8276260,1,1,1,1,1,-1,-1,1,1,1,1,-1,1,-1
-1,1,1,1,-1,1,-1,-1,-1,1,-1,8276249,1,1,1,1,1,-1,-1,1,1,1,0,-1,0,-1
-1,1,1,1,-1,1,-1,-1,-1,1,-1,8276248,1,1,1,1,1,-1,-1,1,1,1,0,-1,0,-1
-1,1,1,1,-1,1,-1,-1,-1,1,-1,8276247,1,1,1,1,1,-1,-1,1,1,1,0,-1,0,-1
-1,1,1,1,-1,1,-1,-1,-1,1,-1,8276246,1,1,1,1,1,-1,-1,1,1,1,1,-1,1,-1
0,1,1,1,1,-1,0,-1,1,1,-1,8276245,-1,1,1,1,1,-1,-1,-1,-1,1,0,0,0,-1
1,1,1,1,1,1,0,-1,1,1,-1,8276242,-1,0,1,1,1,-1,-1,-1,1,-1,1,-1,1,1
1,1,1,1,1,1,0,-1,1,1,-1,8276229,1,1,1,1,1,1,1,1,1,1,-1,-1,1,-1
1,1,1,1,1,1,0,-1,1,1,-1,8276222,-1,1,1,1,1,-1,-1,-1,0,-1,1,-1,1,-1
1,1,1,1,1,-1,1,-1,1,1,-1,8276217,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,1,1
1,1,1,1,1,1,1,-1,1,1,-1,8276213,-1,0,1,1,1,-1,-1,-1,0,1,0,0,0,-1
1,1,1,1,1,1,1,-1,1,1,-1,8276212,-1,0,1,1,1,-1,-1,-1,0,1,0,0,0,-1
1,1,1,1,1,-1,1,-1,1,1,-1,8276208,-1,0,1,1,1,-1,-1,-1,-1,1,0,0,0,1
1,1,1,1,1,1,0,-1,1,1,-1,8276163,-1,0,1,1,1,-1,-1,-1,1,-1,1,-1,1,-1
1,1,1,1,1,-1,0,-1,1,1,-1,8276162,-1,0,1,1,1,-1,-1,-1,1,-1,1,-1,1,-1
0,1,1,1,1,1,-1,-1,1,1,-1,8276161,1,1,1,1,1,-1,1,-1,1,1,1,-1,1,-1
0,1,1,1,1,1,-1,-1,1,1,-1,8276160,1,1,1,1,1,-1,1,-1,1,1,1,-1,1,-1
1,1,1,1,1,1,0,-1,1,1,-1,8276159,-1,1,1,1,1,-1,-1,-1,1,1,1,-1,1,-1
1,1,1,1,1,1,0,-1,1,1,-1,8276158,-1,0,1,1,1,-1,-1,-1,1,-1,1,-1,1,1
-1,1,1,1,1,-1,0,-1,-1,1,-1,8276157,1,1,1,1,1,-1,1,1,-1,1,1,-1,1,-1
1,1,1,1,1,1,0,-1,1,1,-1,8276156,1,1,1,1,1,-1,-1,-1,0,1,0,0,0,1
1,1,1,1,1,1,0,-1,1,1,-1,8276155,1,1,1,1,1,-1,-1,-1,0,1,0,0,0,1
1,1,1,1,1,1,0,-1,1,1,-1,8276154,1,0,1,1,1,-1,-1,1,0,1,1,-1,1,-1
0,1,1,1,1,1,0,-1,1,1,-1,8276153,1,1,1,1,1,-1,1,1,1,1,1,-1,1,-1
1,1,1,1,1,1,0,-1,1,1,-1,8276152,-1,0,1,1,1,-1,-1,-1,1,-1,1,-1,1,1
1,1,1,1,1,1,0,-1,1,1,-1,8276150,-1,0,1,1,1,-1,-1,-1,1,-1,1,-1,1,-1
1,1,1,1,1,1,0,-1,1,1,-1,8276151,-1,1,1,1,1,-1,-1,-1,1,1,1,-1,1,-1
-1,-1,1,1,-1,1,-1,-1,-1,1,-1,8276137,-1,1,1,1,1,-1,-1,-1,-1,-1,0,0,0,-1
-1,-1,1,1,1,1,-1,-1,-1,1,-1,8276127,-1,1,1,1,1,-1,-1,-1,-1,-1,0,0,0,-1
-1,-1,1,1,-1,1,-1,-1,-1,1,-1,8276126,-1,1,1,1,1,-1,1,-1,-1,-1,0,0,0,-1
-1,-1,1,1,1,1,-1,-1,-1,1,-1,8276119,-1,1,1,1,1,-1,-1,-1,-1,-1,0,0,0,-1
-1,-1,1,1,-1,1,-1,-1,-1,1,-1,8276118,-1,1,1,1,1,-1,1,-1,-1,-1,0,0,0,-1
1,1,1,1,1,1,0,-1,1,1,-1,8276113,-1,0,1,1,1,-1,-1,-1,1,-1,1,-1,1,1
1,1,1,1,1,1,0,-1,1,1,-1,8276112,-1,0,1,1,1,-1,-1,-1,1,-1,1,-1,1,1
1,1,1,1,1,1,0,-1,1,1,-1,8276110,-1,0,1,1,1,-1,-1,-1,1,-1,1,-1,1,-1
1,1,1,1,1,1,0,-1,1,1,-1,8276109,-1,0,1,1,1,-1,-1,-1,1,-1,1,-1,1,1
-1,-1,1,1,1,1,-1,-1,-1,1,-1,8276097,-1,1,1,1,1,-1,-1,-1,-1,-1,0,0,0,-1
-1,-1,1,1,-1,1,-1,-1,-1,1,-1,8276096,-1,1,1,1,1,-1,1,-1,-1,-1,0,0,0,-1
1,1,1,1,1,1,0,-1,1,1,-1,8276095,1,0,1,1,1,-1,-1,1,0,1,1,-1,1,1
1,1,1,1,1,1,1,-1,1,1,-1,8276094,1,1,1,1,1,-1,-1,1,-1,-1,1,-1,1,-1
1,1,1,1,1,1,0,-1,1,1,-1,8276093,-1,0,1,1,1,-1,-1,-1,1,-1,1,-1,1,1
0,1,1,1,1,1,1,-1,1,1,-1,8276086,1,1,1,1,1,-1,1,-1,1,1,-1,-1,1,-1
1,1,1,1,1,1,0,-1,1,1,-1,8276080,1,0,1,1,1,-1,-1,1,-1,1,1,-1,1,1
1,1,1,1,1,1,1,-1,1,1,-1,8275314,1,1,1,1,1,-1,1,1,1,1,1,-1,1,1
1,1,1,1,1,1,0,-1,1,1,-1,8275312,1,1,1,1,1,-1,1,0,0,1,1,-1,1,1
1,1,1,1,1,1,1,-1,1,1,-1,8275233,1,1,1,1,1,-1,-1,-1,-1,1,-1,-1,1,1
1,1,1,1,1,1,1,-1,1,1,-1,8275202,-1,0,1,1,1,-1,-1,-1,1,1,0,-1,0,1
1,1,1,1,1,1,-1,-1,1,1,-1,8274975,1,1,1,1,1,-1,1,-1,-1,1,-1,-1,-1,1
1,1,1,1,1,1,-1,-1,1,1,-1,8274974,1,1,1,1,1,-1,1,-1,-1,1,-1,-1,-1,1
1,1,1,1,1,1,1,-1,1,1,-1,8274893,-1,1,1,1,1,-1,-1,-1,-1,1,0,0,0,1
1,1,1,1,1,1,1,-1,1,1,-1,8274892,-1,1,1,1,1,-1,-1,-1,-1,1,0,0,0,1
1,1,1,1,1,1,1,-1,1,1,-1,8274887,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,1,1
1,1,1,1,1,1,1,-1,1,1,-1,8274886,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,1,1
1,1,1,1,1,-1,1,-1,1,1,-1,8274885,-1,0,1,1,1,-1,-1,-1,-1,-1,-1,-1,1,1
-1,1,1,1,1,1,-1,-1,-1,1,-1,8274564,1,1,1,1,1,-1,1,-1,1,-1,1,-1,1,1
-1,1,1,-1,1,1,-1,-1,1,1,-1,8274563,1,1,1,1,1,-1,1,-1,1,-1,1,-1,1,1
-1,1,1,1,-1,1,-1,-1,-1,-1,-1,8274559,1,1,1,1,1,-1,-1,1,1,1,1,-1,1,1
-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,8274558,1,1,1,1,1,-1,-1,1,1,1,1,-1,1,1
-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,8274557,1,1,1,1,1,-1,-1,1,1,1,1,-1,1,1
