PhishID, PhishURL                                                                                                                                                                                                                                                                                                                                                                                                                                                                , Result                                                                                                                                                                                                                                                                                                                                                                                                                            , having_IP_Address, URL_Length, Shortening_Service, having_At_Symbol, double_slash_redirecting, Prefix_Suffix, having_Sub_Domain, SSLfinal_State, Domain_registration_length, Favicon, port, HTTPS_token, Request_URL, URL_of_Anchor, Links_in_tags, SFH, Submitting_to_email, Abnormal_URL, Redirect, on_mouseover, RightClick, popUpWindow, Iframe, age_of_domain, DNSRecord, web_traffic, Page_Rank, Google_Index, Links_pointing_to_page, Statistical_report
8196332, https://flexxia.cleverapps.io/postch/tracking/j0pl1n/details.php?id=65415241                                                                                                                                                                                                                                                                                                                                                                                            , 1                                                                                                                                                                                                                                                                                                                                                                                                                                 , 0                , 76        , 0                 , 0               , 1                       , 0            , 1                , 1             , -1                        , 1      , 1   , 0          , 1          , 1            ,              ,    ,                    ,             ,         ,             ,           ,            ,       ,              ,          ,            ,          ,             ,                       , 
8196331, https://recursing-blackwell.198-38-88-89.plesk.page/DHM/RDGDESDZRFSYJNOI/index.php?FGDD=1#HDHKJDJDSSJDSJKJDSJDSDJJDSHYKJHGFG                                                                                                                                                                                                                                                                                                                                            , 1                                                                                                                                                                                                                                                                                                                                                                                                                                 , 1                , 124       , 0                 , 0               , 1                       , 1            , 1                , 1             , -1                        , -1     , 1   , 0          , 1          , 1            ,              ,    ,                    ,             ,         ,             ,           ,            ,       ,              ,          ,            ,          ,             ,                       , 
8196330, https://dhl.information.de.0905354133388.ajiwainosato.com/tracking/1548655?page=307                                                                                                                                                                                                                                                                                                                                                                                     , -1                                                                                                                                                                                                                                                                                                                                                                                                                                , 0                , 83        , 0                 , 0               , 1                       , 0            , 1                , 1             , -1                        , -1     , 1   , 0          , 1          , 1            ,              ,    ,                    ,             ,         ,             ,           ,            ,       ,              ,          ,            ,          ,             ,                       , 
8196329, https://retrieverfunds.com/f/077263950280876800829427425401613318065058494422339905246080                                                                                                                                                                                                                                                                                                                                                                               , -1                                                                                                                                                                                                                                                                                                                                                                                                                                , 0                , 89        , 0                 , 0               , 1                       , 0            , 1                , 1             , -1                        , -1     , 1   , 0          , 1          , 1            ,              ,    ,                    ,             ,         ,             ,           ,            ,       ,              ,          ,            ,          ,             ,                       , 
8196312, https://nullingthevoid.com/                                                                                                                                                                                                                                                                                                                                                                                                                                             , 1                                                                                                                                                                                                                                                                                                                                                                                                                                 , 0                , 27        , 0                 , 0               , 1                       , 0            , 1                , 1             , -1                        , 1      , 1   , 0          , 1          , 1            ,              ,    ,                    ,             ,         ,             ,           ,            ,       ,              ,          ,            ,          ,             ,                       , 
8196311, https://dkbschutzwerk.com/de/Transaktionsverifizierung/TanBestatigen/DkrOiS0Qu/FsBf5ExLykEr82/DnF1fbpsi/OlEgp_XbQfK/?RhYSH=031320190&ZuM4RMr=YcAMWF3H6                                                                                                                                                                                                                                                                                                                  , 1                                                                                                                                                                                                                                                                                                                                                                                                                                 , 0                , 150       , 0                 , 0               , 1                       , 0            , 1                , 1             , -1                        , -1     , 1   , 0          , 1          , 1            ,              ,    ,                    ,             ,         ,             ,           ,            ,       ,              ,          ,            ,          ,             ,                       , 
8196310, https://miles-and-more.keytheday.com/?ref=WUdiWDIGo2                                                                                                                                                                                                                                                                                                                                                                                                                    , 1                                                                                                                                                                                                                                                                                                                                                                                                                                 , 1                , 52        , 0                 , 0               , 1                       , 1            , 1                , 1             , -1                        , -1     , 1   , 0          , 1          , 1            ,              ,    ,                    ,             ,         ,             ,           ,            ,       ,              ,          ,            ,          ,             ,                       , 
8196306, https://webletter.space/en/web_letter/6ukn7gs4wau4ro1fmnxcz7gxfbfo56pgeghfgofa                                                                                                                                                                                                                                                                                                                                                                                          , 1                                                                                                                                                                                                                                                                                                                                                                                                                                 , 0                , 78        , 0                 , 0               , 1                       , 0            , 1                , 1             , -1                        , -1     , 1   , 0          , 1          , 1            ,              ,    ,                    ,             ,         ,             ,           ,            ,       ,              ,          ,            ,          ,             ,                       , 
8196300, http://ecfenterprises.com.au/bcr202323_/                                                                                                                                                                                                                                                                                                                                                                                                                                , -1                                                                                                                                                                                                                                                                                                                                                                                                                                , 0                , 40        , 0                 , 0               , 1                       , 0            , 1                , 0             , -1                        , -1     , 1   , 0          , 1          , 1            ,              ,    ,                    ,             ,         ,             ,           ,            ,       ,              ,          ,            ,          ,             ,                       , 
8196299, https://zennessey-test.devteamtango.com/wp-admin/b/mhbmpire/home.php                                                                                                                                                                                                                                                                                                                                                                                                    , 1                                                                                                                                                                                                                                                                                                                                                                                                                                 , 1                , 68        , 0                 , 0               , 1                       , 1            , 1                , 1             , -1                        , 1      , 1   , 0          , 1          , 1            ,              ,    ,                    ,             ,         ,             ,           ,            ,       ,              ,          ,            ,          ,             ,                       , 
8196298, http://ecfenterprises.com.au/banreserva211___/                                                                                                                                                                                                                                                                                                                                                                                                                          , -1                                                                                                                                                                                                                                                                                                                                                                                                                                , 0                , 46        , 0                 , 0               , 1                       , 0            , 1                , 0             , -1                        , -1     , 1   , 0          , 1          , 1            ,              ,    ,                    ,             ,         ,             ,           ,            ,       ,              ,          ,            ,          ,             ,                       , 
8196297, https://agesports.net/hm/aspx.php                                                                                                                                                                                                                                                                                                                                                                                                                                       , 1                                                                                                                                                                                                                                                                                                                                                                                                                                 , 0                , 33        , 0                 , 0               , 1                       , 0            , 1                , 1             , -1                        , -1     , 1   , 0          , 1          , 1            ,              ,    ,                    ,             ,         ,             ,           ,            ,       ,              ,          ,            ,          ,             ,                       , 
8196292, https://consorciocaixadigital.com.br/                                                                                                                                                                                                                                                                                                                                                                                                                                   , 1                                                                                                                                                                                                                                                                                                                                                                                                                                 , 0                , 37        , 0                 , 0               , 1                       , 0            , 1                , 1             , -1                        , 1      , 1   , 0          , 1          , 1            ,              ,    ,                    ,             ,         ,             ,           ,            ,       ,              ,          ,            ,          ,             ,                       , 
8196285, https://www.sfr-collection.life/                                                                                                                                                                                                                                                                                                                                                                                                                                        , 1                                                                                                                                                                                                                                                                                                                                                                                                                                 , 1                , 32        , 0                 , 0               , 1                       , 1            , 1                , 1             , -1                        , 1      , 1   , 0          , 1          , 1            ,              ,    ,                    ,             ,         ,             ,           ,            ,       ,              ,          ,            ,          ,             ,                       , 
8196284, https://rmcsport1.sport.blog/                                                                                                                                                                                                                                                                                                                                                                                                                                           , 1                                                                                                                                                                                                                                                                                                                                                                                                                                 , 0                , 29        , 0                 , 0               , 1                       , 0            , 1                , 1             , -1                        , 1      , 1   , 0          , 1          , 1            ,              ,    ,                    ,             ,         ,             ,           ,            ,       ,              ,          ,            ,          ,             ,                       , 
